"Date","Price","Open","High","Low","Change %"
"Sep 09, 2012","54.305","55.305","55.545","54.295","-1.91"
"Sep 02, 2012","55.365","55.528","56.030","55.275","-0.29"
"Aug 26, 2012","55.525","55.420","55.885","55.345","0.04"
"Aug 19, 2012","55.505","55.665","55.685","55.130","-0.41"
"Aug 12, 2012","55.735","55.341","56.040","55.188","0.81"
"Aug 05, 2012","55.285","55.485","55.655","54.960","-0.84"
"Jul 29, 2012","55.755","55.245","56.200","55.135","0.90"
"Jul 22, 2012","55.255","55.315","56.445","55.235","-0.13"
"Jul 15, 2012","55.325","54.905","55.550","54.767","0.33"
"Jul 08, 2012","55.145","55.928","56.075","55.105","-0.48"
"Jul 01, 2012","55.410","55.490","55.920","54.180","-0.18"
"Jun 24, 2012","55.510","56.730","57.250","55.510","-2.83"
"Jun 17, 2012","57.125","55.325","57.330","55.265","3.12"
"Jun 10, 2012","55.395","55.130","56.080","55.020","-0.05"
"Jun 03, 2012","55.425","55.510","55.920","54.830","-0.22"
"May 27, 2012","55.545","55.300","56.530","55.020","0.31"
"May 20, 2012","55.375","54.460","56.392","54.440","1.75"
"May 13, 2012","54.425","53.665","54.915","53.535","1.47"
"May 06, 2012","53.635","53.415","53.915","52.675","0.30"
"Apr 29, 2012","53.475","52.515","53.925","52.395","1.77"
"Apr 22, 2012","52.545","52.090","52.870","51.945","0.90"
"Apr 15, 2012","52.075","51.530","52.205","51.335","1.02"
"Apr 08, 2012","51.550","51.150","51.650","51.030","0.85"
"Apr 01, 2012","51.115","50.845","51.235","50.514","0.47"
"Mar 25, 2012","50.875","51.175","51.490","50.565","-0.59"
"Mar 18, 2012","51.175","50.175","51.295","50.072","2.06"
"Mar 11, 2012","50.140","49.725","50.500","49.725","0.76"
"Mar 04, 2012","49.760","49.522","50.763","49.480","0.47"
"Feb 26, 2012","49.525","49.015","49.605","48.835","1.04"
"Feb 19, 2012","49.015","49.335","49.335","48.940","-0.63"
"Feb 12, 2012","49.325","49.365","49.555","49.105","-0.07"
"Feb 05, 2012","49.360","48.610","49.770","48.610","1.54"
"Jan 29, 2012","48.610","49.360","49.815","48.610","-1.59"
"Jan 22, 2012","49.395","50.415","50.415","49.305","-1.66"
"Jan 15, 2012","50.230","51.442","51.805","50.080","-2.35"
"Jan 08, 2012","51.440","52.682","52.885","51.310","-2.35"
"Jan 01, 2012","52.680","53.265","53.350","52.615","-0.63"
